GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
insurance-refactoring-demo,com.insurance.admin,InsuranceAdminApplication,5,3,0,0,2,1,1,1,1,1
insurance-refactoring-demo,com.insurance.admin.util,LegacyAuditFileWriter,1,18,0,0,1,6,0,2,0,2
insurance-refactoring-demo,com.insurance.admin.entity,CustomerRecord,0,45,0,0,0,19,0,13,0,13
insurance-refactoring-demo,com.insurance.admin.entity,BillingRecord,0,45,0,0,0,19,0,13,0,13
insurance-refactoring-demo,com.insurance.admin.entity,PolicyRecord,7,52,0,0,3,22,2,15,2,15
insurance-refactoring-demo,com.insurance.admin.entity,ClaimRecord,4,41,0,0,2,17,1,12,1,12
insurance-refactoring-demo,com.insurance.admin.service.legacy,LegacyPremiumUtil,90,41,16,8,18,11,11,4,1,2
insurance-refactoring-demo,com.insurance.admin.service.legacy,ManualUnderwritingService,36,3,14,0,8,1,8,1,1,1
insurance-refactoring-demo,com.insurance.admin.service,CustomerService,73,30,15,3,19,7,11,3,2,3
insurance-refactoring-demo,com.insurance.admin.service,BillingService,8,23,2,2,2,7,3,2,1,2
insurance-refactoring-demo,com.insurance.admin.service,ClaimsService,2633,200,297,21,426,40,294,2,135,2
insurance-refactoring-demo,com.insurance.admin.service,UnderwritingService,10,29,8,6,3,6,7,2,0,2
insurance-refactoring-demo,com.insurance.admin.service,PolicyService,2473,313,292,38,421,71,293,9,133,4
insurance-refactoring-demo,com.insurance.admin.controller,ClaimsController,42,6,4,0,8,3,6,1,4,1
insurance-refactoring-demo,com.insurance.admin.controller,CustomerController,15,11,0,0,3,4,3,2,3,2
insurance-refactoring-demo,com.insurance.admin.controller,PolicyController,40,11,4,0,9,4,6,1,4,1
insurance-refactoring-demo,com.insurance.admin.controller,BillingController,5,11,0,0,1,4,1,2,1,2
insurance-refactoring-demo,com.insurance.admin.controller,UnderwritingController,0,41,0,0,0,11,0,2,0,2
